source_row,fold,role
2141,1,train
2359,1,train
2506,1,train
2589,1,train
2885,1,train
2911,1,train
3394,1,train
4009,1,train
4261,1,train
4407,1,train
5401,1,train
5455,1,train
5563,1,train
5970,1,train
6244,1,train
6735,1,train
6754,1,train
6929,1,train
6941,1,train
6981,1,train
7103,1,train
8467,1,train
8704,1,train
9020,1,train
9307,1,train
9350,1,train
9424,1,train
9469,1,train
9560,1,train
9623,1,train
9988,1,train
10033,1,train
10533,1,train
10901,1,train
11130,1,train
11574,1,train
11901,1,train
11942,1,train
12018,1,train
13084,1,train
13864,1,train
14084,1,train
14170,1,train
14626,1,train
15192,1,train
15746,1,train
16294,1,train
16494,1,train
16657,1,train
16688,1,train
16882,1,train
17145,1,train
17820,1,train
18307,1,train
18412,1,train
18551,1,train
18842,1,train
19128,1,train
19167,1,train
19202,1,train
19380,1,train
19426,1,train
19465,1,train
19971,1,train
20350,1,train
20642,1,train
20860,1,train
20873,1,train
21065,1,train
21249,1,train
21277,1,train
21401,1,train
729,1,train
842,1,train
845,1,train
902,1,train
974,1,train
1010,1,train
1120,1,train
1200,1,train
1292,1,train
1558,1,train
1784,1,train
1982,1,train
2149,1,train
2205,1,train
3030,1,train
3202,1,train
3530,1,train
4013,1,train
4538,1,train
5865,1,train
5944,1,train
6454,1,train
6684,1,train
6699,1,train
7567,1,train
7841,1,train
8287,1,train
8448,1,train
8808,1,train
8878,1,train
9071,1,train
9389,1,train
9603,1,train
10364,1,train
10569,1,train
10830,1,train
10853,1,train
10914,1,train
10976,1,train
11193,1,train
11415,1,train
11543,1,train
11708,1,train
11990,1,train
12182,1,train
12661,1,train
12927,1,train
13248,1,train
13333,1,train
13376,1,train
13748,1,train
13933,1,train
13944,1,train
14560,1,train
14670,1,train
15735,1,train
15844,1,train
15932,1,train
16109,1,train
16496,1,train
16632,1,train
16873,1,train
16917,1,train
17084,1,train
17387,1,train
17451,1,train
17543,1,train
17698,1,train
17772,1,train
18146,1,train
18796,1,train
19166,1,train
19412,1,train
19423,1,train
20066,1,train
20417,1,train
20574,1,train
20599,1,train
21431,1,train
21506,1,train
21538,1,train
4572,1,train
5141,1,train
13088,1,train
15242,1,train
20725,1,train
1350,1,train
20099,1,train
5,1,train
55,1,train
133,1,train
393,1,train
495,1,train
1789,1,train
2026,1,train
2075,1,train
2273,1,train
2322,1,train
2389,1,train
3495,1,train
3526,1,train
3897,1,train
4553,1,train
4901,1,train
5186,1,train
5253,1,train
5293,1,train
5472,1,train
5939,1,train
6493,1,train
6511,1,train
7020,1,train
7058,1,train
7341,1,train
7890,1,train
8004,1,train
8400,1,train
8952,1,train
9033,1,train
9090,1,train
9588,1,train
9590,1,train
9669,1,train
9705,1,train
9986,1,train
10002,1,train
10545,1,train
10550,1,train
10563,1,train
10610,1,train
10899,1,train
11528,1,train
11851,1,train
12553,1,train
12562,1,train
12779,1,train
13146,1,train
13158,1,train
13499,1,train
13529,1,train
14085,1,train
14187,1,train
14537,1,train
14622,1,train
14849,1,train
15287,1,train
15547,1,train
15835,1,train
16004,1,train
16197,1,train
16509,1,train
16529,1,train
17197,1,train
17655,1,train
17684,1,train
18405,1,train
18910,1,train
19055,1,train
19104,1,train
19442,1,train
19649,1,train
19742,1,train
19751,1,train
19795,1,train
20068,1,train
20501,1,train
20810,1,train
21469,1,train
251,1,train
320,1,train
1326,1,train
1390,1,train
1436,1,train
1464,1,train
1683,1,train
2570,1,train
3006,1,train
3106,1,train
3302,1,train
3471,1,train
3620,1,train
3748,1,train
4028,1,train
4115,1,train
4133,1,train
4166,1,train
4196,1,train
4556,1,train
4825,1,train
5745,1,train
6166,1,train
6280,1,train
6356,1,train
6938,1,train
7095,1,train
7154,1,train
7875,1,train
8191,1,train
8299,1,train
8379,1,train
9264,1,train
9479,1,train
9732,1,train
9916,1,train
10835,1,train
10981,1,train
11173,1,train
11189,1,train
11225,1,train
11833,1,train
12001,1,train
12189,1,train
12294,1,train
12415,1,train
12441,1,train
12551,1,train
13357,1,train
13424,1,train
13481,1,train
13502,1,train
13590,1,train
13880,1,train
14503,1,train
14655,1,train
15009,1,train
15193,1,train
15234,1,train
15368,1,train
15785,1,train
16018,1,train
16120,1,train
16122,1,train
16176,1,train
16253,1,train
16772,1,train
16961,1,train
16998,1,train
17452,1,train
18101,1,train
18191,1,train
18385,1,train
18773,1,train
19353,1,train
19388,1,train
19918,1,train
20167,1,train
20172,1,train
20433,1,train
20775,1,train
21261,1,train
21449,1,train
21513,1,train
21570,1,train
20,1,train
666,1,train
1249,1,train
1296,1,train
1397,1,train
1716,1,train
1729,1,train
1849,1,train
1921,1,train
2116,1,train
2244,1,train
2286,1,train
2510,1,train
2748,1,train
3293,1,train
3339,1,train
3568,1,train
3660,1,train
3800,1,train
4182,1,train
4735,1,train
4755,1,train
4763,1,train
4795,1,train
4937,1,train
4958,1,train
5018,1,train
5142,1,train
5331,1,train
5355,1,train
5502,1,train
5709,1,train
6136,1,train
6161,1,train
6215,1,train
6260,1,train
6967,1,train
7134,1,train
7418,1,train
7456,1,train
7981,1,train
8143,1,train
8662,1,train
9125,1,train
9173,1,train
9622,1,train
9766,1,train
10069,1,train
10528,1,train
10667,1,train
11045,1,train
11496,1,train
11498,1,train
11840,1,train
11930,1,train
13009,1,train
13032,1,train
13162,1,train
13602,1,train
13968,1,train
14344,1,train
14778,1,train
15283,1,train
15342,1,train
15471,1,train
15477,1,train
15641,1,train
16267,1,train
16864,1,train
17097,1,train
17203,1,train
17230,1,train
17827,1,train
17853,1,train
18029,1,train
18870,1,train
18974,1,train
19413,1,train
20402,1,train
21288,1,train
21590,1,train
195,1,train
212,1,train
387,1,train
778,1,train
828,1,train
879,1,train
967,1,train
1028,1,train
1125,1,train
1748,1,train
2164,1,train
2348,1,train
2657,1,train
2775,1,train
3262,1,train
3368,1,train
4191,1,train
4287,1,train
4323,1,train
4414,1,train
4467,1,train
5306,1,train
5684,1,train
5869,1,train
5934,1,train
5987,1,train
6022,1,train
6584,1,train
6945,1,train
7172,1,train
7548,1,train
7579,1,train
7710,1,train
7919,1,train
7964,1,train
9095,1,train
9453,1,train
9615,1,train
9771,1,train
10363,1,train
10787,1,train
11143,1,train
11278,1,train
11355,1,train
11564,1,train
11761,1,train
12013,1,train
12230,1,train
12233,1,train
12307,1,train
13203,1,train
13286,1,train
13589,1,train
13651,1,train
14261,1,train
14424,1,train
14535,1,train
14583,1,train
14867,1,train
14950,1,train
14951,1,train
15093,1,train
15410,1,train
15684,1,train
16049,1,train
16159,1,train
16388,1,train
16967,1,train
17340,1,train
17962,1,train
18102,1,train
18945,1,train
20278,1,train
20582,1,train
20676,1,train
20687,1,train
20899,1,train
21090,1,train
21441,1,train
21482,1,train
23,1,train
99,1,train
154,1,train
580,1,train
789,1,train
924,1,train
1250,1,train
1714,1,train
1840,1,train
1929,1,train
2134,1,train
2398,1,train
2571,1,train
2705,1,train
3600,1,train
4176,1,train
4257,1,train
4586,1,train
4991,1,train
5151,1,train
5393,1,train
5437,1,train
5501,1,train
5849,1,train
5974,1,train
6004,1,train
7139,1,train
7485,1,train
7923,1,train
8144,1,train
8390,1,train
8763,1,train
8895,1,train
9128,1,train
9198,1,train
9526,1,train
9701,1,train
9761,1,train
10165,1,train
10570,1,train
11091,1,train
11164,1,train
11472,1,train
11600,1,train
11701,1,train
11926,1,train
12288,1,train
12543,1,train
12848,1,train
12873,1,train
13139,1,train
13208,1,train
13862,1,train
14858,1,train
14873,1,train
14889,1,train
16280,1,train
16704,1,train
17054,1,train
17550,1,train
18239,1,train
18534,1,train
18803,1,train
19215,1,train
19623,1,train
19821,1,train
19916,1,train
20006,1,train
20191,1,train
20268,1,train
20949,1,train
20996,1,train
21210,1,train
1050,1,train
4155,1,train
8189,1,train
9528,1,train
15119,1,train
15148,1,train
18741,1,train
18827,1,train
88,1,train
255,1,train
265,1,train
501,1,train
686,1,train
801,1,train
919,1,train
1766,1,train
1856,1,train
2042,1,train
2365,1,train
2518,1,train
2647,1,train
3037,1,train
3087,1,train
3095,1,train
3498,1,train
3507,1,train
3519,1,train
3709,1,train
3782,1,train
3881,1,train
4002,1,train
4378,1,train
4387,1,train
4627,1,train
4667,1,train
4684,1,train
4832,1,train
5084,1,train
5349,1,train
5815,1,train
5992,1,train
6000,1,train
6234,1,train
6279,1,train
6745,1,train
7481,1,train
7984,1,train
8115,1,train
8298,1,train
8635,1,train
8718,1,train
8825,1,train
8847,1,train
8974,1,train
9370,1,train
9432,1,train
9522,1,train
9978,1,train
10119,1,train
10240,1,train
10259,1,train
10904,1,train
11454,1,train
11458,1,train
11983,1,train
12052,1,train
12291,1,train
12471,1,train
13459,1,train
13798,1,train
14004,1,train
14107,1,train
14595,1,train
15347,1,train
16351,1,train
16603,1,train
16691,1,train
16841,1,train
17678,1,train
17719,1,train
17829,1,train
18294,1,train
18732,1,train
18923,1,train
18997,1,train
19542,1,train
20007,1,train
20170,1,train
20201,1,train
20552,1,train
21048,1,train
375,1,train
455,1,train
926,1,train
1026,1,train
1084,1,train
1206,1,train
1379,1,train
1760,1,train
1950,1,train
1953,1,train
2081,1,train
2129,1,train
2284,1,train
2313,1,train
2423,1,train
2995,1,train
3201,1,train
3769,1,train
3942,1,train
4069,1,train
4243,1,train
4452,1,train
4606,1,train
4823,1,train
5138,1,train
5398,1,train
5753,1,train
6601,1,train
6603,1,train
7030,1,train
7087,1,train
7123,1,train
7300,1,train
7411,1,train
7458,1,train
7551,1,train
7573,1,train
7585,1,train
7725,1,train
7845,1,train
8114,1,train
8490,1,train
8528,1,train
8674,1,train
8900,1,train
8961,1,train
9403,1,train
9529,1,train
9696,1,train
9935,1,train
10017,1,train
10215,1,train
10234,1,train
11003,1,train
11375,1,train
11405,1,train
11442,1,train
11818,1,train
11821,1,train
11938,1,train
12131,1,train
12176,1,train
12745,1,train
13150,1,train
13234,1,train
13267,1,train
13354,1,train
13362,1,train
13426,1,train
13685,1,train
13811,1,train
14505,1,train
14518,1,train
14724,1,train
14729,1,train
14747,1,train
15023,1,train
15183,1,train
15332,1,train
15365,1,train
15764,1,train
16405,1,train
16478,1,train
16566,1,train
16629,1,train
16643,1,train
16746,1,train
16803,1,train
16829,1,train
16886,1,train
17176,1,train
17624,1,train
18315,1,train
18330,1,train
18528,1,train
18648,1,train
18937,1,train
18954,1,train
19053,1,train
19188,1,train
19229,1,train
19330,1,train
19462,1,train
19924,1,train
19929,1,train
20192,1,train
20196,1,train
20480,1,train
20493,1,train
20502,1,train
20511,1,train
20833,1,train
21004,1,train
21372,1,train
21559,1,train
21573,1,train
505,1,train
624,1,train
850,1,train
953,1,train
1687,1,train
1834,1,train
1956,1,train
1978,1,train
2596,1,train
2769,1,train
2804,1,train
3153,1,train
3154,1,train
3408,1,train
3501,1,train
3506,1,train
3851,1,train
4206,1,train
4808,1,train
4848,1,train
5091,1,train
5216,1,train
5366,1,train
5497,1,train
5541,1,train
5658,1,train
6017,1,train
6403,1,train
6748,1,train
6822,1,train
6887,1,train
6962,1,train
7647,1,train
7862,1,train
8177,1,train
8508,1,train
8563,1,train
8734,1,train
9288,1,train
10394,1,train
10845,1,train
11151,1,train
11872,1,train
11883,1,train
12098,1,train
12184,1,train
12239,1,train
12261,1,train
12302,1,train
12750,1,train
13090,1,train
13170,1,train
13606,1,train
13930,1,train
13987,1,train
14078,1,train
14459,1,train
14559,1,train
14740,1,train
14767,1,train
14959,1,train
15111,1,train
15376,1,train
15609,1,train
16092,1,train
16233,1,train
16263,1,train
16330,1,train
16782,1,train
17045,1,train
17542,1,train
18138,1,train
18158,1,train
18278,1,train
18286,1,train
18674,1,train
18709,1,train
18865,1,train
18920,1,train
18925,1,train
19029,1,train
19065,1,train
19123,1,train
19196,1,train
19334,1,train
19627,1,train
19825,1,train
19878,1,train
20010,1,train
20072,1,train
20729,1,train
21094,1,train
21608,1,train
90,1,train
629,1,train
914,1,train
1052,1,train
1389,1,train
1449,1,train
1697,1,train
2449,1,train
2703,1,train
3058,1,train
3375,1,train
3376,1,train
3569,1,train
3841,1,train
4356,1,train
4712,1,train
5005,1,train
5274,1,train
5632,1,train
5858,1,train
6084,1,train
6529,1,train
6575,1,train
7118,1,train
7131,1,train
7384,1,train
7571,1,train
7786,1,train
8156,1,train
8367,1,train
8397,1,train
9165,1,train
9262,1,train
9637,1,train
9660,1,train
10012,1,train
10170,1,train
10486,1,train
10519,1,train
11510,1,train
11599,1,train
12123,1,train
12591,1,train
12768,1,train
12864,1,train
13018,1,train
13245,1,train
13470,1,train
13611,1,train
13617,1,train
14175,1,train
14649,1,train
14876,1,train
15222,1,train
15407,1,train
15909,1,train
16121,1,train
16325,1,train
16434,1,train
16520,1,train
16598,1,train
16823,1,train
17053,1,train
17147,1,train
17363,1,train
17553,1,train
17812,1,train
18316,1,train
18324,1,train
18363,1,train
18439,1,train
18505,1,train
18781,1,train
18890,1,train
19005,1,train
19260,1,train
19665,1,train
19788,1,train
19852,1,train
19931,1,train
20015,1,train
20166,1,train
20233,1,train
20621,1,train
20652,1,train
20707,1,train
20784,1,train
20970,1,train
21221,1,train
21326,1,train
21339,1,train
106,1,train
465,1,train
546,1,train
630,1,train
652,1,train
1035,1,train
1184,1,train
1310,1,train
1665,1,train
1792,1,train
1908,1,train
2376,1,train
2431,1,train
2548,1,train
2595,1,train
2803,1,train
2840,1,train
3026,1,train
4143,1,train
4390,1,train
4474,1,train
4802,1,train
4828,1,train
5071,1,train
5129,1,train
5154,1,train
5209,1,train
5227,1,train
5309,1,train
5319,1,train
5557,1,train
6049,1,train
6801,1,train
7249,1,train
7325,1,train
7896,1,train
8667,1,train
8771,1,train
8826,1,train
8940,1,train
10416,1,train
10697,1,train
10870,1,train
11519,1,train
12375,1,train
12401,1,train
12413,1,train
12651,1,train
12844,1,train
12868,1,train
12992,1,train
13189,1,train
13264,1,train
13764,1,train
14636,1,train
15260,1,train
16221,1,train
16568,1,train
16675,1,train
16862,1,train
16892,1,train
17039,1,train
17258,1,train
17315,1,train
17347,1,train
17433,1,train
17447,1,train
17653,1,train
17733,1,train
17883,1,train
18132,1,train
18702,1,train
18749,1,train
19071,1,train
19256,1,train
19306,1,train
19555,1,train
20221,1,train
20347,1,train
20387,1,train
20477,1,train
21453,1,train
1365,1,train
2921,1,train
4486,1,train
9253,1,train
9340,1,train
11346,1,train
11455,1,train
12393,1,train
13826,1,train
16646,1,train
19583,1,train
2943,1,train
8670,1,train
8960,1,train
11240,1,train
17627,1,train
2211,1,train
7130,1,train
8541,1,train
11345,1,train
14460,1,train
14697,1,train
15871,1,train
19538,1,train
11,1,train
214,1,train
506,1,train
663,1,train
984,1,train
1071,1,train
1237,1,train
1303,1,train
1593,1,train
2097,1,train
2150,1,train
2257,1,train
2591,1,train
2715,1,train
3098,1,train
3397,1,train
3407,1,train
3983,1,train
4053,1,train
4621,1,train
4676,1,train
4754,1,train
5354,1,train
5792,1,train
5829,1,train
6143,1,train
6308,1,train
6325,1,train
6455,1,train
6826,1,train
7472,1,train
7693,1,train
7717,1,train
8196,1,train
8236,1,train
8329,1,train
8577,1,train
8733,1,train
8904,1,train
9187,1,train
9459,1,train
9599,1,train
9775,1,train
9839,1,train
9932,1,train
10016,1,train
10188,1,train
10628,1,train
10650,1,train
10652,1,train
11048,1,train
11207,1,train
11290,1,train
11397,1,train
11862,1,train
12644,1,train
13054,1,train
13106,1,train
13149,1,train
13169,1,train
13320,1,train
13323,1,train
13620,1,train
13887,1,train
14301,1,train
14694,1,train
14721,1,train
14748,1,train
14861,1,train
15118,1,train
15533,1,train
15900,1,train
15908,1,train
15922,1,train
16517,1,train
16622,1,train
16647,1,train
16725,1,train
17122,1,train
17260,1,train
17270,1,train
17339,1,train
17566,1,train
17572,1,train
17609,1,train
17801,1,train
17861,1,train
17864,1,train
18661,1,train
18802,1,train
18950,1,train
19007,1,train
19499,1,train
19833,1,train
19848,1,train
20047,1,train
20352,1,train
20505,1,train
20628,1,train
20750,1,train
20923,1,train
21202,1,train
21313,1,train
21481,1,train
12,1,train
36,1,train
549,1,train
681,1,train
964,1,train
1099,1,train
1388,1,train
1515,1,train
1595,1,train
1655,1,train
1733,1,train
1895,1,train
2344,1,train
2372,1,train
3082,1,train
3396,1,train
4049,1,train
4211,1,train
4294,1,train
4394,1,train
4458,1,train
4620,1,train
4843,1,train
5153,1,train
5469,1,train
5536,1,train
5662,1,train
5863,1,train
5884,1,train
6054,1,train
6099,1,train
6630,1,train
6803,1,train
7185,1,train
7264,1,train
7445,1,train
7559,1,train
7922,1,train
8239,1,train
8452,1,train
8516,1,train
8529,1,train
9289,1,train
9993,1,train
10583,1,train
10603,1,train
10691,1,train
10823,1,train
10963,1,train
11115,1,train
11419,1,train
11603,1,train
11642,1,train
11695,1,train
11726,1,train
11934,1,train
11941,1,train
12024,1,train
12141,1,train
12168,1,train
12223,1,train
12521,1,train
12525,1,train
12697,1,train
12765,1,train
13046,1,train
13271,1,train
13350,1,train
13370,1,train
14022,1,train
14338,1,train
14515,1,train
14629,1,train
14732,1,train
14739,1,train
14771,1,train
15339,1,train
15341,1,train
15858,1,train
16171,1,train
16232,1,train
16320,1,train
16339,1,train
16482,1,train
16660,1,train
17068,1,train
17233,1,train
17235,1,train
17299,1,train
17343,1,train
17360,1,train
17462,1,train
17537,1,train
17669,1,train
17833,1,train
17859,1,train
18124,1,train
18205,1,train
18261,1,train
18478,1,train
18712,1,train
18993,1,train
19337,1,train
19886,1,train
20005,1,train
20281,1,train
20761,1,train
21102,1,train
21394,1,train
21402,1,train
17,1,train
137,1,train
227,1,train
239,1,train
299,1,train
760,1,train
985,1,train
1327,1,train
1468,1,train
1520,1,train
1933,1,train
1963,1,train
1977,1,train
2638,1,train
2681,1,train
2871,1,train
3301,1,train
3353,1,train
3626,1,train
3735,1,train
3741,1,train
3965,1,train
4130,1,train
4205,1,train
4940,1,train
5103,1,train
5299,1,train
6150,1,train
6604,1,train
7517,1,train
7724,1,train
7784,1,train
7883,1,train
8076,1,train
8562,1,train
8564,1,train
8725,1,train
8959,1,train
9755,1,train
10037,1,train
10484,1,train
11592,1,train
11612,1,train
11889,1,train
12872,1,train
12920,1,train
12989,1,train
13143,1,train
14052,1,train
14208,1,train
14289,1,train
14342,1,train
14381,1,train
14582,1,train
14935,1,train
14943,1,train
15069,1,train
15534,1,train
15720,1,train
15930,1,train
16729,1,train
16964,1,train
17088,1,train
17138,1,train
17401,1,train
18228,1,train
18322,1,train
18468,1,train
18836,1,train
19532,1,train
20079,1,train
20223,1,train
20908,1,train
21397,1,train
21579,1,train
177,1,train
874,1,train
892,1,train
1077,1,train
1470,1,train
1691,1,train
2551,1,train
2821,1,train
4268,1,train
4519,1,train
5049,1,train
5267,1,train
5648,1,train
6222,1,train
6739,1,train
6906,1,train
7374,1,train
7608,1,train
7830,1,train
8743,1,train
8756,1,train
8811,1,train
8988,1,train
9094,1,train
9583,1,train
9616,1,train
10111,1,train
10122,1,train
10461,1,train
10538,1,train
10618,1,train
11006,1,train
11782,1,train
11857,1,train
12899,1,train
13167,1,train
13588,1,train
13815,1,train
13869,1,train
13891,1,train
14242,1,train
14317,1,train
14564,1,train
14871,1,train
14966,1,train
15768,1,train
15882,1,train
16302,1,train
16422,1,train
16781,1,train
16794,1,train
16910,1,train
17167,1,train
17182,1,train
17519,1,train
18460,1,train
18540,1,train
18557,1,train
19180,1,train
19624,1,train
19663,1,train
20125,1,train
20265,1,train
20289,1,train
20733,1,train
4094,1,train
6265,1,train
7276,1,train
13567,1,train
16105,1,train
19904,1,train
1439,1,train
1837,1,train
2781,1,train
2867,1,train
8869,1,train
12100,1,train
18308,1,train
84,1,train
298,1,train
336,1,train
1102,1,train
1518,1,train
1580,1,train
1738,1,train
1861,1,train
2058,1,train
2242,1,train
2419,1,train
2896,1,train
3473,1,train
3478,1,train
3837,1,train
3912,1,train
3984,1,train
4014,1,train
4120,1,train
4580,1,train
4671,1,train
4776,1,train
4885,1,train
5954,1,train
6085,1,train
6106,1,train
6314,1,train
6335,1,train
6474,1,train
6741,1,train
7164,1,train
7539,1,train
7754,1,train
7800,1,train
7802,1,train
7810,1,train
8151,1,train
8339,1,train
8574,1,train
8588,1,train
9003,1,train
9208,1,train
9218,1,train
9488,1,train
9618,1,train
9767,1,train
9868,1,train
9898,1,train
10494,1,train
10497,1,train
10754,1,train
11152,1,train
11400,1,train
11655,1,train
12022,1,train
12315,1,train
13625,1,train
14191,1,train
15250,1,train
15559,1,train
15599,1,train
15936,1,train
15984,1,train
16196,1,train
16275,1,train
16650,1,train
16780,1,train
16931,1,train
17808,1,train
17876,1,train
17951,1,train
18490,1,train
18630,1,train
18774,1,train
20108,1,train
20470,1,train
21185,1,train
21459,1,train
64,1,train
481,1,train
573,1,train
754,1,train
884,1,train
905,1,train
1341,1,train
1544,1,train
1594,1,train
1909,1,train
2072,1,train
2296,1,train
2384,1,train
2666,1,train
2721,1,train
2809,1,train
2938,1,train
2940,1,train
3257,1,train
3289,1,train
3317,1,train
3643,1,train
3790,1,train
4022,1,train
4513,1,train
4758,1,train
4954,1,train
5304,1,train
5841,1,train
6636,1,train
6869,1,train
7165,1,train
7747,1,train
7791,1,train
7867,1,train
7881,1,train
8230,1,train
8834,1,train
8987,1,train
9113,1,train
9506,1,train
9567,1,train
10046,1,train
10063,1,train
10204,1,train
10432,1,train
10518,1,train
10960,1,train
11017,1,train
11162,1,train
11287,1,train
11387,1,train
11427,1,train
11985,1,train
12205,1,train
12585,1,train
12808,1,train
13165,1,train
13287,1,train
13861,1,train
13929,1,train
13960,1,train
13962,1,train
14074,1,train
14272,1,train
14327,1,train
14341,1,train
14611,1,train
15140,1,train
15464,1,train
15488,1,train
15691,1,train
15733,1,train
16265,1,train
16399,1,train
16504,1,train
16681,1,train
16767,1,train
16783,1,train
17005,1,train
17104,1,train
17142,1,train
17495,1,train
17782,1,train
17870,1,train
17892,1,train
17982,1,train
18095,1,train
18470,1,train
18475,1,train
18637,1,train
19067,1,train
19070,1,train
19106,1,train
19135,1,train
19286,1,train
19307,1,train
19637,1,train
19806,1,train
19867,1,train
19877,1,train
20145,1,train
20629,1,train
21435,1,train
225,1,train
350,1,train
355,1,train
595,1,train
725,1,train
885,1,train
1403,1,train
1516,1,train
1596,1,train
1646,1,train
1728,1,train
2091,1,train
2292,1,train
2446,1,train
3038,1,train
3141,1,train
3229,1,train
3341,1,train
3814,1,train
3964,1,train
4018,1,train
4062,1,train
4089,1,train
4368,1,train
4459,1,train
4726,1,train
5527,1,train
5617,1,train
5729,1,train
5795,1,train
6071,1,train
6226,1,train
6336,1,train
6475,1,train
6503,1,train
6897,1,train
7138,1,train
7511,1,train
7831,1,train
8199,1,train
8465,1,train
8521,1,train
8735,1,train
8816,1,train
8829,1,train
8859,1,train
9147,1,train
9257,1,train
9769,1,train
10142,1,train
10441,1,train
10868,1,train
11261,1,train
11325,1,train
11410,1,train
11613,1,train
11848,1,train
12056,1,train
12112,1,train
12219,1,train
13049,1,train
13230,1,train
13777,1,train
